id,nombre,edad,saldo
0,User0,20,4181.2
1,User1,30,7716.94
2,User2,44,4937.35
3,User3,32,6831.14
4,User4,55,8850.61
5,User5,34,5071.86
6,User6,21,5473.88
7,User7,45,3598.01
8,User8,46,7814.79
9,User9,41,7040.23
10,User10,51,7417.26
11,User11,39,6682.79
12,User12,40,7253.44
13,User13,59,5656.18
14,User14,48,7140.69
15,User15,36,7698.46
16,User16,55,6400.99
17,User17,29,827.956
18,User18,35,632.152
19,User19,22,1436.6
20,User20,54,9747.89
21,User21,33,9880.83
22,User22,22,8584.74
23,User23,43,8780.04
24,User24,58,2372.9
25,User25,19,8132.95
26,User26,44,384.459
27,User27,59,6051.88
28,User28,39,6287.82
29,User29,51,7543.42
30,User30,21,1162.69
31,User31,33,8056.94
32,User32,61,3396.62
33,User33,44,7069.57
34,User34,31,736.036
35,User35,42,3701.37
36,User36,20,3022.9
37,User37,42,3822.36
38,User38,37,9048.68
39,User39,25,4608.41
40,User40,26,2067.19
41,User41,27,2642.42
42,User42,24,4112.81
43,User43,29,9492.99
44,User44,35,6768.77
45,User45,40,8520.96
46,User46,57,3709.33
47,User47,38,7986.44
48,User48,56,1286.28
49,User49,40,5246.45
50,User50,26,2146.26
51,User51,57,82.6805
52,User52,33,4115.19
53,User53,49,8642.43
54,User54,44,2081.14
55,User55,47,2911.26
56,User56,30,4018.31
57,User57,38,6485.24
58,User58,51,811.423
59,User59,57,7664.68
60,User60,54,5995.27
61,User61,37,4946.25
62,User62,59,4935.82
63,User63,26,479.9
64,User64,47,4278.69
65,User65,63,9529.98
66,User66,26,5388.11
67,User67,49,7915.04
68,User68,57,4442.64
69,User69,49,1993.24
70,User70,64,6013.36
71,User71,41,2840.23
72,User72,20,4669.91
73,User73,41,7666.56
74,User74,24,9422.1
75,User75,40,6580.04
76,User76,23,8931.07
77,User77,38,1583.79
78,User78,59,5286.62
79,User79,42,8931.23
80,User80,39,8449.44
81,User81,41,5943.31
82,User82,19,8283.41
83,User83,50,3515.32
84,User84,19,2792.02
85,User85,63,1150.96
86,User86,32,3974.06
87,User87,45,1976.16
88,User88,41,688.857
89,User89,45,228.537
90,User90,61,2394.51
91,User91,32,6583.29
92,User92,48,5150.77
93,User93,22,2214.75
94,User94,29,1881.93
95,User95,36,7332.53
96,User96,56,3210.22
97,User97,64,263.756
98,User98,50,3080.72
99,User99,24,115.402
100,User100,35,7156.45
101,User101,21,3623.15
102,User102,35,5059.61
103,User103,62,7718.39
104,User104,43,2521.79
105,User105,24,2577.83
106,User106,48,8492.25
107,User107,64,6529.71
108,User108,57,3515.55
109,User109,28,2554.92
110,User110,43,7300.92
111,User111,61,904.755
112,User112,44,345.702
113,User113,57,5531.94
114,User114,42,8092.81
115,User115,47,6819.64
116,User116,59,4525.73
117,User117,33,2969.8
118,User118,44,6191.73
119,User119,21,5100.87
